year,site,site.code,plant.species,week,flw.per.meter.sum.week,flw.count.sum.week
2015,Avery.Wash,AW,Ligularia.bigelovii,12,8,20
2015,Avery.Wash,AW,Ligularia.bigelovii,13,0.8,2
2015,Avery.Wash,AW,Ligusticum.porteri,10,25.2,63
2015,Avery.Wash,AW,Ligusticum.porteri,11,8.8,22
2015,Avery.Wash,AW,Mertensia.ciliata,7,0.8,2
2015,Avery.Wash,AW,Mertensia.ciliata,9,4,10
2015,Avery.Wash,AW,Mertensia.ciliata,10,7.2,18
2015,Avery.Wash,AW,Mertensia.ciliata,11,12,30
2015,Avery.Wash,AW,Mertensia.fusiformis,2,1.2,3
2015,Avery.Wash,AW,Mertensia.fusiformis,3,40.800000000000004,102
2015,Avery.Wash,AW,Mertensia.fusiformis,4,94.8,237
2015,Avery.Wash,AW,Mertensia.fusiformis,5,71.6,179
2015,Avery.Wash,AW,Mertensia.fusiformis,6,15.6,39
2015,Avery.Wash,AW,Mertensia.fusiformis,7,0.8,2
2015,Avery.Wash,AW,Mertensia.fusiformis,8,0.8,2
2015,Avery.Wash,AW,Potentilla.pulcherrima,6,7.6000000000000005,19
2015,Avery.Wash,AW,Potentilla.pulcherrima,7,110.4,276
2015,Avery.Wash,AW,Potentilla.pulcherrima,8,179.6,449
2015,Avery.Wash,AW,Potentilla.pulcherrima,9,140,350
2015,Avery.Wash,AW,Potentilla.pulcherrima,10,256.4,641
2015,Avery.Wash,AW,Potentilla.pulcherrima,11,172.8,432
2015,Avery.Wash,AW,Potentilla.pulcherrima,12,40.4,101
2015,Avery.Wash,AW,Ranunculus.inamoenus,3,2,5
2015,Avery.Wash,AW,Ranunculus.inamoenus,4,7.2,18
2015,Avery.Wash,AW,Ranunculus.inamoenus,5,13.6,34
2015,Avery.Wash,AW,Ranunculus.inamoenus,6,5.6,14
2015,Avery.Wash,AW,Ranunculus.inamoenus,7,5.2,13
2015,Avery.Wash,AW,Ranunculus.inamoenus,8,1.2,3
2015,Avery.Wash,AW,Ranunculus.inamoenus,9,0.8,2
2015,Avery.Wash,AW,Senecio.crassulus,8,3.5999999999999996,9
2015,Avery.Wash,AW,Senecio.crassulus,9,5.6,14
2015,Avery.Wash,AW,Senecio.serra,11,0.6000000000000001,1.5
2015,Avery.Wash,AW,Senecio.serra,12,106.8,267
2015,Avery.Wash,AW,Senecio.serra,13,91.2,228
2015,Avery.Wash,AW,Senecio.serra,14,2.8,7
2015,Avery.Wash,AW,Senecio.serra,15,2,5
2015,Avery.Wash,AW,Senecio.serra,16,0.4,1
2015,Avery.Wash,AW,Solidago.multiradiata,9,6.4,16
2015,Avery.Wash,AW,Solidago.multiradiata,10,6,15
2015,Avery.Wash,AW,Solidago.multiradiata,11,28.8,72
2015,Avery.Wash,AW,Solidago.multiradiata,12,10.8,27
2015,Avery.Wash,AW,Taraxacum.officinale,4,0.4,1
2015,Avery.Wash,AW,Taraxacum.officinale,5,6,15
2015,Avery.Wash,AW,Taraxacum.officinale,6,4.4,11
2015,Avery.Wash,AW,Taraxacum.officinale,8,0.4,1
2015,Avery.Wash,AW,Taraxacum.officinale,11,0.4,1
2015,Avery.Wash,AW,Veratrum.tenuipetalum,9,0.4,1
2015,Avery.Wash,AW,Veratrum.tenuipetalum,11,0.4,1
2015,Avery.Wash,AW,Vicia.americana,8,31.2,78
2015,Avery.Wash,AW,Vicia.americana,9,56.800000000000004,142
2015,Avery.Wash,AW,Vicia.americana,10,108,270
2015,Avery.Wash,AW,Vicia.americana,11,50.4,126
2015,Avery.Wash,AW,Vicia.americana,12,8.8,22
2015,Avery.Wash,AW,Vicia.americana,13,1.2,3
2015,Avery.Wash,AW,Viola.praemorsa,3,0.8,2
2015,Avery.Wash,AW,Viola.praemorsa,4,5.2,13
2015,Avery.Wash,AW,Viola.praemorsa,5,42.4,106
2015,Avery.Wash,AW,Viola.praemorsa,6,2.8,7
2015,Copper.Creek,CC,Achillea.millefolium,10,0.4,1
2015,Copper.Creek,CC,Achillea.millefolium,11,0.4,1
2015,Copper.Creek,CC,Achillea.millefolium,12,0.4,1
2015,Copper.Creek,CC,Achillea.millefolium,13,0.8,2
2015,Copper.Creek,CC,Achillea.millefolium,14,0.4,1
2015,Copper.Creek,CC,Achillea.millefolium,15,0.4,1
2015,Copper.Creek,CC,Achillea.millefolium,16,0.8,2
2015,Copper.Creek,CC,Aconitum.columbianum,9,24,60
2015,Copper.Creek,CC,Aconitum.columbianum,10,37.2,93
2015,Copper.Creek,CC,Aconitum.columbianum,11,51.2,128
2015,Copper.Creek,CC,Aconitum.columbianum,12,22.4,56
2015,Copper.Creek,CC,Aconitum.columbianum,13,1.2,3
2015,Copper.Creek,CC,Adenolinum.lewisii,8,0.4,1
2015,Copper.Creek,CC,Adenolinum.lewisii,9,10.799999999999999,27
2015,Copper.Creek,CC,Adenolinum.lewisii,10,8,20
2015,Copper.Creek,CC,Adenolinum.lewisii,11,14.799999999999999,37
2015,Copper.Creek,CC,Adenolinum.lewisii,12,8.4,21
2015,Copper.Creek,CC,Aquilegia.coerulea,9,0.4,1
2015,Copper.Creek,CC,Aquilegia.coerulea,10,0.8,2
2015,Copper.Creek,CC,Calochortus.gunnisonii,12,0.4,1
2015,Copper.Creek,CC,Campanula.rotundifolia,12,0.4,1
2015,Copper.Creek,CC,Campanula.rotundifolia,13,1.2,3
2015,Copper.Creek,CC,Claytonia.lanceolata,1,484,1210
