site,site.code,year,date,doy,week,observer,obs.start,obs.end,tot.obs.length,weather,habitat,habitat.code,no.bees,genus,species,caste,behaviour,plant.species,resource.coll
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,aspen,a,1,Bombus,flavifrons,q,frg,Delphinium.barbeyi,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,aspen,a,1,Bombus,flavifrons,w,frg,Delphinium.barbeyi,nectar.and.pollen
Gothic.Spires,GS,2016,9-Jul-16,191,10,JEO,16:12:00,17:12:00,60,mostlyclear.warm.breezy,wet,w,1,Bombus,appositus,w,frg,Vicia.americana,nectar.and.pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,aspen,a,1,Bombus,flavifrons,m,frg,Erigeron.elatior,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Trifolium.repens,pollen
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
Avery.Wash,AW,2016,29-Jul-16,211,13,JEO,16:15:00,17:15:00,60,partlycloudy.warm,dry,d,1,Bombus,bifarius,w,frg,Ligularia.bigelovii,nectar
