site,year,week,n_bee,n_plant,S,S_eff,Omega,omega
AW,2022,2,1,3,4,4,0.5,0.8408964152537145
AW,2022,3,1,3,4,4,0.5,0.8408964152537145
AW,2022,4,3,4,7,7,0.21876268767969817,0.8048416900476375
AW,2022,5,2,2,4,4,0.5,0.8408964152537145
AW,2022,6,4,3,7,7,0.5,0.9057236642639067
AW,2022,7,4,5,9,9,0.4999769614490921,0.9258699720098386
AW,2022,8,5,5,10,10,0.49999999687926455,0.9330329909544576
AW,2022,9,7,9,16,16,0.4999718371029232,0.9575999094992346
AW,2022,10,7,13,20,20,0.18147470994345707,0.9182074360360807
AW,2022,11,4,10,14,14,0.49998785177461347,0.9516935013623855
AW,2022,12,5,14,19,19,0.4999999989147227,0.9641759978323479
AW,2022,13,5,8,13,13,0.49999660373831695,0.9480770189654132
AW,2022,14,5,6,11,11,0.5,0.9389309106617063
AW,2022,15,7,7,14,14,0.1449108915009745,0.8711213240025144
AW,2022,16,5,4,9,9,0.14580874641638866,0.8073968747401858
AW,2022,17,6,3,9,9,0.1499202957166536,0.8098954081992183
AW,2022,18,3,3,6,6,0.5,0.8908987181403393
AW,2023,2,1,1,2,2,0.5,0.7071067811865476
AW,2023,3,3,3,6,6,0.17448405034560122,0.7475254028182862
AW,2023,4,2,2,4,4,0.5,0.8408964152537145
AW,2023,5,2,3,5,5,0.23627883825728951,0.74935043778469
AW,2023,6,4,3,7,7,0.5,0.9057236642639067
AW,2023,7,3,1,4,4,0.5,0.8408964152537145
AW,2023,8,5,5,10,10,0.4999343982770451,0.9330207490996139
AW,2023,9,5,8,13,13,0.18560459333170798,0.8784915608473951
AW,2023,10,4,7,11,11,0.49999829595424994,0.9389306197555779
AW,2023,11,5,6,11,11,0.01536757400767457,0.684141503244454
AW,2023,12,4,3,7,7,0.5,0.9057236642639067
AW,2023,13,4,4,8,8,0.09571540811932126,0.7458006060371316
AW,2023,14,4,2,6,6,0.5,0.8908987181403393
AW,2023,15,1,1,2,2,0.5,0.7071067811865476
CC,2015,2,1,1,2,2,0.5,0.7071067811865476
CC,2015,3,2,4,6,6,0.5,0.8908987181403393
CC,2015,4,4,5,9,9,0.5,0.9258747122872905
CC,2015,5,4,3,7,7,0.5,0.9057236642639067
CC,2015,6,5,4,9,9,0.49999989001920325,0.9258746896587463
CC,2015,7,4,4,8,8,0.04326807767666096,0.6753376310638546
CC,2015,8,5,5,10,10,0.4999860046776875,0.9330303798844225
CC,2015,9,7,5,12,12,0.4999996825896404,0.9438742627490981
CC,2015,10,7,7,14,14,0.49999999990079813,0.9516951529971325
CC,2015,11,7,10,17,17,0.49990991867327306,0.9600365116062869
CC,2015,12,7,14,21,21,0.4999214167367106,0.9675245368576644
CC,2015,13,7,10,17,17,0.49999999817243546,0.9600466866483759
CC,2015,14,6,8,14,14,0.07394405582158263,0.8302471171428146
CC,2015,15,5,4,9,9,0.4999954043752871,0.925873766733937
CC,2015,16,2,2,4,4,0.5,0.8408964152537145
CC,2016,3,1,2,3,3,0.5,0.7937005259840998
CC,2016,4,1,2,3,3,0.5,0.7937005259840998
CC,2016,5,3,2,5,5,0.23627848318271702,0.749350212563127
CC,2016,6,5,4,9,9,0.4999940941242655,0.9258734971473566
CC,2016,7,5,7,12,12,0.16473045466170352,0.8604609349742206
CC,2016,8,6,5,11,11,0.06566893391257453,0.7807055551611576
CC,2016,9,5,5,10,10,0.49999984414325876,0.933032962452907
CC,2016,10,6,8,14,14,0.4999999999999993,0.9516951530106195
CC,2016,11,6,5,11,11,0.49999089919414696,0.9389293570074109
CC,2016,12,7,7,14,14,0.16066978509903496,0.8775684781669165
CC,2016,13,5,8,13,13,0.49903798505205527,0.9479370719288622
CC,2016,14,5,6,11,11,0.4999801557476582,0.9389275228947856
CC,2016,15,5,5,10,10,0.1417554503431759,0.8225342230209846
CC,2016,16,6,1,7,7,0.5,0.9057236642639067
CC,2016,17,4,4,8,8,0.1461938039295169,0.7863504158825009
CC,2016,18,1,1,2,2,0.5,0.7071067811865476
CC,2017,1,1,1,2,2,0.5,0.7071067811865476
CC,2017,2,1,4,5,5,0.5,0.8705505632961241
CC,2017,3,3,3,6,6,0.5,0.8908987181403393
CC,2017,4,4,4,8,8,0.039526714519750025,0.6677460684012329
CC,2017,5,5,4,9,9,0.24778622278598797,0.85639720156982
CC,2017,6,5,5,10,10,0.24002707202084833,0.8670138253010049
CC,2017,7,6,5,11,11,0.4999999106139887,0.938930895402198
CC,2017,8,6,11,17,17,0.4999701126774383,0.9600433110863045
CC,2017,9,7,10,17,17,0.15513012539021967,0.8961772002817864
CC,2017,10,7,9,16,16,0.49995639276736,0.957598060681537
CC,2017,11,6,10,16,16,0.4999800029719631,0.9576008870012416
CC,2017,12,7,7,14,14,0.4997294615080416,0.9516583623143055
CC,2017,13,6,5,11,11,0.49999372405464626,0.9389298392593961
CC,2017,14,5,3,8,8,0.4999924815442454,0.9170023195797506
CC,2017,15,4,2,6,6,0.1693229203480665,0.743793921812341
CC,2017,16,1,1,2,2,0.5,0.7071067811865476
CC,2018,3,1,1,2,2,0.5,0.7071067811865476
CC,2018,4,1,2,3,3,0.5,0.7937005259840998
CC,2018,5,1,3,4,4,0.5,0.8408964152537145
CC,2018,6,4,2,6,6,0.5,0.8908987181403393
CC,2018,7,2,1,3,3,0.5,0.7937005259840998
CC,2018,8,6,4,10,10,0.17501213593725862,0.8400532503123804
CC,2018,9,4,3,7,7,0.5,0.9057236642639067
CC,2018,10,4,4,8,8,0.2011574199675161,0.8183555028809533
CC,2018,11,7,6,13,13,0.17177886239068868,0.8732759846586489
CC,2018,12,6,7,13,13,0.4999624205115155,0.9480720328770188
CC,2018,13,6,8,14,14,0.49995913143802234,0.9516895964551281
CC,2018,14,6,8,14,14,0.14636380778455707,0.8717423028155751
CC,2018,15,5,5,10,10,0.4999946933042023,0.9330320012676268
CC,2018,16,3,1,4,4,0.5,0.8408964152537145
CC,2018,17,3,2,5,5,0.5,0.8705505632961241
CC,2018,18,1,2,3,3,0.5,0.7937005259840998
CC,2019,3,1,1,2,2,0.5,0.7071067811865476
CC,2019,4,1,1,2,2,0.5,0.7071067811865476
CC,2019,5,2,2,4,4,0.2229576358185605,0.6871563871658882
CC,2019,6,3,2,5,5,0.21923735354843754,0.7382150759738942
CC,2019,7,7,4,11,11,0.2009570504780508,0.8642626597064699
CC,2019,8,3,3,6,6,0.5,0.8908987181403393
CC,2019,9,7,8,15,15,0.49949649115092243,0.9547774709399964
CC,2019,10,8,10,18,18,0.49991589052226887,0.9622148437192487
CC,2019,11,7,12,19,19,0.4998971588720218,0.9641655593520536
CC,2019,12,7,8,15,15,0.4999848246817047,0.9548396718796837
CC,2019,13,8,8,16,16,0.49999707074785016,0.9576029300649271
CC,2019,14,6,7,13,13,0.499998388150939,0.9480772792376138
CC,2019,15,6,5,11,11,0.14651462868021298,0.8397905803227395
CC,2019,16,3,3,6,6,0.1646744614454089,0.7403510704105005
CC,2019,17,1,1,2,2,0.5,0.7071067811865476
CC,2020,3,3,3,6,6,0.23583200512046174,0.7860203510048366
CC,2020,4,5,4,9,9,0.16064063634988285,0.8161344547842566
CC,2020,5,6,6,12,12,0.49997930994484824,0.9438710578180307
CC,2020,6,6,5,11,11,0.1431410647087692,0.8380140400484564
CC,2020,7,6,4,10,10,0.49998561632466243,0.9330303074133345
CC,2020,8,8,9,17,17,0.17923838705684444,0.9038246425061722
CC,2020,9,7,5,12,12,0.0863385503735816,0.8153618662934011
CC,2020,10,6,7,13,13,0.034090880673623376,0.7711271905613997
CC,2020,11,4,7,11,11,0.24825230494775843,0.8810291929945234
CC,2020,12,1,1,2,2,0.5,0.7071067811865476
CC,2020,13,2,2,4,4,0.5,0.8408964152537145
CC,2020,14,2,1,3,3,0.5,0.7937005259840998
CC,2020,15,2,1,3,3,0.5,0.7937005259840998
CC,2020,16,2,1,3,3,0.5,0.7937005259840998
CC,2020,17,1,2,3,3,0.5,0.7937005259840998
CC,2021,2,1,1,2,2,0.5,0.7071067811865476
CC,2021,4,2,1,3,3,0.5,0.7937005259840998
CC,2021,5,5,3,8,8,0.5,0.9170040432046712
CC,2021,6,4,3,7,7,0.1991803726469965,0.794131390031183
CC,2021,7,5,2,7,7,0.15641076911874155,0.7671764024863083
CC,2021,8,6,7,13,13,0.1498318741036492,0.8641416530797398
CC,2021,9,8,8,16,16,0.005668649893652353,0.7237565001151738
CC,2021,10,5,7,12,12,0.10860759741438207,0.831103320038079
CC,2021,11,7,6,13,13,0.4999900972521644,0.9480760699301907
CC,2021,12,8,12,20,20,0.0484907553626829,0.859573360290876
CC,2021,13,8,10,18,18,0.4998310731032743,0.9622057734024512
CC,2021,14,9,13,22,22,0.4999759211007737,0.9689823527543725
CC,2021,15,8,8,16,16,0.49998084268431164,0.9576009875188438
CC,2021,16,8,10,18,18,0.4998806099052205,0.9622110710107395
CC,2021,17,8,5,13,13,0.4999978177524928,0.9480771960401007
CC,2021,18,7,5,12,12,0.49989554057060553,0.9438578783459525
CC,2021,19,8,4,12,12,0.49999999986921095,0.9438743126611188
CC,2021,20,4,3,7,7,0.16239594724968612,0.7713030108713168
CC,2022,2,2,2,4,4,0.5,0.8408964152537145
CC,2022,3,2,4,6,6,0.19814410485734896,0.7635371852952085
CC,2022,4,4,5,9,9,0.5,0.9258747122872905
CC,2022,5,4,3,7,7,0.10156757101910419,0.7212866044125426
CC,2022,6,6,3,9,9,0.4999963263328442,0.9258739564280397
CC,2022,7,6,5,11,11,0.4999973162456083,0.9389304525042331
CC,2022,8,5,4,9,9,0.17080682735160535,0.8217180046269099
CC,2022,9,5,6,11,11,0.49999971102542007,0.9389308613294814
CC,2022,10,7,7,14,14,0.2304299784203133,0.9004654830282647
CC,2022,12,8,7,15,15,0.4998154918039635,0.9548181097173596
CC,2022,13,7,6,13,13,0.09850559334303882,0.8367079870887771
CC,2022,14,8,4,12,12,0.4999812007178566,0.9438713552708103
CC,2022,15,8,2,10,10,0.4999999987049032,0.9330329912951338
CC,2022,16,8,3,11,11,0.4999677896067854,0.9389254117127135
CC,2022,17,6,1,7,7,0.5,0.9057236642639067
CC,2022,18,2,2,4,4,0.5,0.8408964152537145
CC,2023,2,1,1,2,2,0.5,0.7071067811865476
CC,2023,3,2,4,6,6,0.5,0.8908987181403393
CC,2023,4,4,5,9,9,0.05276368860531784,0.7211693134497048
CC,2023,5,6,5,11,11,0.1789140690008198,0.8551820769162156
CC,2023,6,5,4,9,9,0.49997909787964856,0.9258704115974585
CC,2023,7,6,4,10,10,0.19549063238983447,0.8494006620362424
CC,2023,8,3,7,10,10,0.07322667634503678,0.769957816542555
CC,2023,9,7,4,11,11,0.16154102044374535,0.8472775731546661
CC,2023,10,6,3,9,9,0.4999969666849994,0.9258740881812402
CC,2023,11,5,4,9,9,0.046426933215458543,0.7109897388975318
CC,2023,12,2,4,6,6,0.5,0.8908987181403393
CC,2023,13,1,1,2,2,0.5,0.7071067811865476
CC,2023,14,1,1,2,2,0.5,0.7071067811865476
FP,2015,1,1,1,2,2,0.5,0.7071067811865476
FP,2015,2,1,1,2,2,0.5,0.7071067811865476
FP,2015,3,2,1,3,3,0.5,0.7937005259840998
FP,2015,4,5,2,7,7,0.5,0.9057236642639067
FP,2015,5,7,6,13,13,0.18541693934001174,0.8784232065112885
FP,2015,6,6,5,11,11,0.19227784330786032,0.8608007929448485
FP,2015,7,4,4,8,8,0.1910530548554522,0.8131005377389318
FP,2015,8,5,6,11,11,0.17128698356424618,0.8518018486934281
FP,2015,9,6,6,12,12,0.49998451135456196,0.9438718760913376
FP,2015,10,7,10,17,17,0.499982338482332,0.9600446920120427
FP,2015,11,6,11,17,17,0.49978519552477435,0.9600224204985462
FP,2015,12,6,10,16,16,0.07547615117895029,0.8508697992749895
FP,2015,13,8,11,19,19,0.4996623957839117,0.9641417227806793
FP,2015,14,6,6,12,12,0.49999708376570323,0.9438738539206933
FP,2015,15,5,4,9,9,0.10687347045064416,0.7800036894335081
FP,2015,16,5,4,9,9,0.14833088727120852,0.8089368538469489
FP,2016,3,1,2,3,3,0.5,0.7937005259840998
FP,2016,4,2,1,3,3,0.5,0.7937005259840998
FP,2016,5,2,2,4,4,0.19879188225302558,0.6677281129556444
FP,2016,6,4,5,9,9,0.03172679400949978,0.6815407043627955
FP,2016,7,5,4,9,9,0.1484019851366581,0.8089799267932657
FP,2016,8,7,5,12,12,0.4999677024569359,0.9438692317277211
FP,2016,9,4,2,6,6,0.5,0.8908987181403393
FP,2016,10,6,4,10,10,0.4999997821264215,0.9330329508801521
FP,2016,11,5,5,10,10,0.13738041802883086,0.8199596537046229
FP,2016,12,5,8,13,13,0.18622137951446,0.8787157811663583
FP,2016,13,8,9,17,17,0.009945771383460733,0.7624546682008901
FP,2016,14,8,9,17,17,0.037135273352161886,0.8238910810584295
FP,2016,15,5,10,15,15,0.4999282108709337,0.9548324636650232
FP,2016,16,6,7,13,13,0.49999642639149694,0.9480769930977803
FP,2016,17,5,3,8,8,0.5,0.9170040432046712
FP,2017,1,1,1,2,2,0.5,0.7071067811865476
FP,2017,2,3,1,4,4,0.5,0.8408964152537145
FP,2017,3,3,1,4,4,0.5,0.8408964152537145
FP,2017,4,2,3,5,5,0.5,0.8705505632961241
FP,2017,5,4,3,7,7,0.0626187092127497,0.6731325430026469
FP,2017,6,4,4,8,8,0.5,0.9170040432046712
FP,2017,7,4,4,8,8,0.20828493642535698,0.8219250803079755
FP,2017,8,4,8,12,12,0.4994319969538344,0.9437849122099118
FP,2017,9,5,12,17,17,0.17830466964394964,0.9035469995654513
FP,2017,10,4,10,14,14,0.4998628641093704,0.9516765061270839
FP,2017,11,5,12,17,17,0.4999158225512118,0.9600371785390175
FP,2017,12,5,8,13,13,0.49989264705742176,0.9480618544933055
FP,2017,13,7,7,14,14,0.15258003618931817,0.8743360959705875
FP,2017,14,7,4,11,11,0.4999998283954717,0.9389308813662843
FP,2017,15,7,5,12,12,0.49997673308249857,0.9438706524293328
FP,2017,16,3,2,5,5,0.5,0.8705505632961241
FP,2018,1,1,1,2,2,0.5,0.7071067811865476
FP,2018,2,1,1,2,2,0.5,0.7071067811865476
FP,2018,4,2,2,4,4,0.22295750924262753,0.6871562896389757
FP,2018,5,2,2,4,4,0.20833361857806426,0.6756003086570332
FP,2018,6,2,2,4,4,0.19879174466288255,0.667727997416683
FP,2018,7,4,3,7,7,0.08318176224838057,0.7010004591254857
FP,2018,8,2,2,4,4,0.25,0.7071067811865476
FP,2018,9,1,2,3,3,0.5,0.7937005259840998
FP,2018,10,2,2,4,4,0.25,0.7071067811865476
FP,2018,11,4,5,9,9,0.08239575585231255,0.7577832168978197
FP,2018,12,5,9,14,14,0.10086941625481621,0.8488676142519982
FP,2018,13,5,13,18,18,0.1572899184216167,0.9023442838297582
FP,2018,14,8,15,23,23,0.4999607752095343,0.9703094430330603
FP,2018,15,7,11,18,18,0.4999366526734623,0.9622170637880703
FP,2018,16,5,6,11,11,0.4996266921035919,0.9388671598739512
FP,2018,17,5,4,9,9,0.15740235109693093,0.8142898546591926
FP,2018,18,6,2,8,8,0.5,0.9170040432046712
FP,2018,19,2,1,3,3,0.5,0.7937005259840998
FP,2018,20,1,1,2,2,0.5,0.7071067811865476
FP,2019,2,1,1,2,2,0.5,0.7071067811865476
FP,2019,3,4,1,5,5,0.5,0.8705505632961241
FP,2019,4,5,3,8,8,0.2005979081050686,0.818070627874048
FP,2019,5,3,4,7,7,0.11165703599679913,0.7311116896963481
FP,2019,6,3,3,6,6,0.19230209693751146,0.7597382696994416
FP,2019,7,4,3,7,7,0.5,0.9057236642639067
FP,2019,8,7,6,13,13,0.11597492244312227,0.8472820522922453
FP,2019,9,6,8,14,14,0.4999989797554485,0.9516950143016604
FP,2019,10,5,10,15,15,0.499958469239003,0.9548363163323306
FP,2019,11,7,12,19,19,0.12889420961613646,0.8977805230775331
FP,2019,12,7,15,22,22,0.1477334189207589,0.9167460218051497
FP,2019,13,8,12,20,20,0.49997349691848986,0.9659337688314612
FP,2019,14,8,8,16,16,0.4999860828416496,0.957601614787276
FP,2019,15,6,7,13,13,0.4999648029513988,0.9480723803984697
FP,2019,16,5,4,9,9,0.4999973133200431,0.9258741595017409
FP,2019,17,4,1,5,5,0.5,0.8705505632961241
FP,2019,18,2,1,3,3,0.5,0.7937005259840998
FP,2020,3,4,1,5,5,0.5,0.8705505632961241
FP,2020,4,5,4,9,9,0.206041423226304,0.8390207986809267
FP,2020,5,4,3,7,7,0.5,0.9057236642639067
FP,2020,6,4,6,10,10,0.4999999999999322,0.9330329915367948
FP,2020,7,3,4,7,7,0.09483339757933097,0.7142522476949099
FP,2020,8,5,5,10,10,0.12461925110146657,0.8120046452105996
FP,2020,9,5,4,9,9,0.08205835386751563,0.7574378052476524
FP,2020,10,4,5,9,9,0.07910941339836687,0.7543639174060942
FP,2020,11,2,5,7,7,0.20462365805736288,0.7971960177834407
FP,2020,12,2,3,5,5,0.24602187610337145,0.7554309000823637
FP,2020,13,3,3,6,6,0.10856864762612584,0.6906914363249022
FP,2020,14,6,3,9,9,0.4999999191224987,0.9258746956467485
FP,2020,15,6,2,8,8,0.5,0.9170040432046712
FP,2020,16,6,4,10,10,0.49997082906816864,0.9330275479055311
FP,2020,17,4,4,8,8,0.5,0.9170040432046712
FP,2020,18,2,1,3,3,0.5,0.7937005259840998
FP,2020,19,1,1,2,2,0.5,0.7071067811865476
FP,2021,2,1,1,2,2,0.5,0.7071067811865476
FP,2021,3,1,1,2,2,0.5,0.7071067811865476
FP,2021,4,3,2,5,5,0.5,0.8705505632961241
